iter	Passed	Remaining
408	4935	1098
409	4947	1085
410	4957	1073
411	4968	1061
412	4979	1048
413	4992	1037
414	5002	1024
415	5013	1012
416	5024	999
417	5035	987
418	5046	975
419	5059	963
420	5072	951
421	5083	939
422	5093	927
423	5104	915
424	5116	902
425	5136	892
426	5155	881
427	5175	870
428	5185	858
429	5198	846
430	5213	834
431	5236	824
432	5252	812
433	5266	800
434	5285	789
435	5295	777
436	5306	765
437	5317	752
438	5328	740
439	5339	728
440	5350	715
441	5361	703
442	5372	691
443	5383	678
444	5394	666
445	5406	654
446	5417	642
447	5428	630
448	5439	617
449	5450	605
450	5461	593
451	5472	581
452	5485	569
453	5496	556
454	5507	544
455	5518	532
456	5529	520
457	5539	508
458	5551	495
459	5562	483
460	5573	471
461	5584	459
462	5595	447
463	5606	434
464	5617	422
465	5628	410
466	5639	398
467	5650	386
468	5661	374
469	5672	362
470	5685	350
471	5697	337
472	5708	325
473	5719	313
474	5735	301
475	5746	289
476	5757	277
477	5768	265
478	5781	253
479	5791	241
480	5802	229
481	5814	217
482	5824	205
483	5835	192
484	5846	180
485	5857	168
486	5868	156
487	5878	144
488	5889	132
489	5900	120
490	5910	108
491	5922	96
492	5934	84
493	5946	72
494	5957	60
495	5967	48
496	5980	36
497	5991	24
498	6003	12
499	6015	0
