iter	Logloss
0	0.6887290205
1	0.6843372617
2	0.6803837973
3	0.6762601794
4	0.6723829366
5	0.6684288516
6	0.664491484
7	0.6606907111
8	0.6572433213
9	0.6542159362
10	0.6505033021
11	0.647077016
12	0.6436054191
13	0.6403218518
14	0.6371498444
15	0.633919326
16	0.6312156548
17	0.6282057733
18	0.6253635213
19	0.6224096266
20	0.6197087692
21	0.616984615
22	0.6144079383
23	0.6118893174
24	0.6094847805
25	0.6068240201
26	0.6044482008
27	0.6018992072
28	0.5993874967
29	0.5970999818
30	0.5950297934
31	0.5929739639
32	0.5908354575
33	0.588674813
34	0.586447216
35	0.5842893439
36	0.5823742883
37	0.5807000215
38	0.5787062616
39	0.5768224891
40	0.5749913516
41	0.5731576073
42	0.5713754221
43	0.5696188923
44	0.5678854939
45	0.5662616277
46	0.5646790171
47	0.5630447646
48	0.561579714
49	0.5599967724
50	0.5585450046
51	0.5571631687
52	0.5556518968
53	0.5542177569
54	0.5531494968
55	0.5517373295
56	0.5503838387
57	0.5492144051
58	0.5479914675
59	0.5470247948
60	0.5459266585
61	0.5446054439
62	0.5433239539
63	0.5421500099
64	0.5411651715
65	0.5401556707
66	0.5389496574
67	0.5378721696
68	0.5368330823
69	0.5357638705
70	0.5345799126
71	0.5337222756
72	0.5326648984
73	0.5319157177
74	0.5310139698
75	0.5300842906
76	0.5290401963
77	0.5281826006
78	0.5274698755
79	0.5266312732
80	0.5256260759
81	0.5247063692
82	0.523895243
83	0.5231445726
84	0.5223893919
85	0.5215352721
86	0.5208102572
87	0.5200173795
88	0.5192584746
89	0.5186070329
90	0.5178958802
91	0.5172822597
92	0.516577314
93	0.5159022031
94	0.5153115896
95	0.5145800781
96	0.5137809521
97	0.5131090274
98	0.5125403867
99	0.5117324881
100	0.5110332942
101	0.5102446372
102	0.5094345455
103	0.5087644415
104	0.5082272494
105	0.507837121
106	0.5072515145
107	0.5066915635
108	0.5060239837
109	0.5054759501
110	0.5049114473
111	0.5044355386
112	0.5039866509
113	0.5035371839
114	0.5030603648
115	0.5025402211
116	0.5022049209
117	0.5017367916
118	0.5010941224
119	0.5005413301
120	0.5001485534
121	0.4996781482
122	0.4991452595
123	0.498604426
124	0.4980849444
125	0.4976165254
126	0.4971860517
127	0.4967676609
128	0.4963733531
129	0.4960404115
130	0.4956244207
131	0.4950988149
132	0.4946002301
133	0.4941534527
134	0.4936098881
135	0.4932608912
136	0.4928233829
137	0.4923917505
138	0.4920084084
139	0.491598997
140	0.4913894498
141	0.4908762166
142	0.4902497269
143	0.489837543
144	0.489472739
145	0.4890664725
146	0.4887208273
147	0.4883790718
148	0.4879637017
149	0.4876896021
150	0.4874383028
151	0.4871173199
152	0.4867806541
153	0.4863392975
154	0.4859438725
155	0.4855576337
156	0.4852404992
157	0.4848994058
158	0.4845931955
159	0.484194998
160	0.4838413665
161	0.4834192515
162	0.4830042952
