iter	Logloss
163	0.4826568707
164	0.4821508789
165	0.4818462824
166	0.4815383342
167	0.4812183859
168	0.4809196239
169	0.4806936904
170	0.4803489556
171	0.4799489374
172	0.479704714
173	0.4793428065
174	0.4790376721
175	0.4786040122
176	0.4783482438
177	0.4779867502
178	0.4776986643
179	0.4773442466
180	0.4770041463
181	0.476672446
182	0.4763354078
183	0.4760455012
184	0.4756014135
185	0.475315769
186	0.4750549523
187	0.4747314867
188	0.4745217327
189	0.4740985004
190	0.473749669
191	0.47356106
192	0.4732602291
193	0.4729735501
194	0.4726862917
195	0.4723550467
196	0.4721566721
197	0.4719221729
198	0.4716387215
199	0.4713119869
200	0.4710719842
201	0.4707193459
202	0.4704305979
203	0.4701215738
204	0.4699337924
205	0.4695369604
206	0.469251978
207	0.4688798497
208	0.4685677635
209	0.4682774431
210	0.4680292472
211	0.4677355336
212	0.4675262348
213	0.4671457064
214	0.4669909461
215	0.46681322
216	0.4666402526
217	0.4664427883
218	0.4662231859
219	0.4660436805
220	0.465851099
221	0.4655455508
222	0.4652864307
223	0.4649702893
224	0.4647589629
225	0.4644574285
226	0.4643028337
227	0.4640611345
228	0.4638660289
229	0.4636871855
230	0.4635204251
231	0.4631874007
232	0.4630202678
233	0.4629171908
234	0.4628025275
235	0.462683602
236	0.4625470074
237	0.4622203142
238	0.4620828092
239	0.4617384468
240	0.4615674656
241	0.4611016949
242	0.4607813741
243	0.4605390956
244	0.4602731065
245	0.4601460706
246	0.4598908402
247	0.4595991128
248	0.4593350271
249	0.4591196868
250	0.4589560299
251	0.4586703853
252	0.4585305217
253	0.4582684223
254	0.457959812
255	0.4578642247
256	0.4575576006
257	0.4573491294
258	0.4570959266
259	0.4568801311
260	0.4565341135
261	0.4563061937
262	0.4561354194
263	0.4559033203
264	0.4557083389
265	0.4555425301
266	0.4552857687
267	0.4550522213
268	0.454759087
269	0.4545553744
270	0.4543562963
271	0.4540315066
272	0.4538627185
273	0.4536895028
274	0.4535256389
275	0.4532824914
276	0.4532119389
277	0.4529416463
278	0.4526791744
279	0.4523593916
280	0.4521827827
281	0.4519823391
282	0.4517734541
283	0.451576445
284	0.4513599047
285	0.451169475
286	0.4509442863
287	0.4506616625
288	0.4505101711
289	0.4503127897
290	0.4500659593
291	0.4499426476
292	0.4496745895
293	0.4494892082
294	0.4493011371
295	0.4490996177
296	0.4488917257
297	0.4487442068
298	0.4486645922
299	0.4483676923
300	0.4481068343
301	0.4479590258
302	0.4478063758
303	0.447565918
304	0.4474207164
305	0.4472295418
306	0.4470833885
307	0.4468282409
308	0.446561631
309	0.4463636288
310	0.4461492816
311	0.445977597
312	0.4457523669
313	0.4454754121
314	0.4452184438
315	0.4449857654
316	0.4447979426
317	0.4445179257
318	0.444300144
319	0.4441874669
320	0.444080045
321	0.4438075593
322	0.4435697497
323	0.4434074583
324	0.4432387116
325	0.4430422405
326	0.442900101
327	0.4427976033
328	0.4424769928
329	0.4423601778
330	0.4421538169
331	0.4420637331
332	0.4416869703
333	0.4414662507
334	0.4411977787
335	0.4409569485
336	0.4408558163
337	0.4407128906
338	0.4404352324
339	0.4402467476
340	0.4400903734
341	0.4398527294
342	0.4396615135
343	0.4394222557
344	0.4392050119
345	0.4389735335
346	0.4387696968
347	0.4384840936
348	0.4383565198
349	0.4382018422
350	0.4379550119
351	0.4378563212
352	0.4377467062
353	0.4376079184
354	0.4373116807
355	0.4371483134
356	0.4369808494
357	0.4366825841
358	0.4365467757
359	0.4363199318
360	0.4361648404
361	0.4358801476
362	0.4356726695
363	0.4355087229
364	0.4353248312
365	0.435166388
366	0.4350316555
367	0.4348629502
368	0.4346754171
369	0.434445718
370	0.4342381571
371	0.4340963073
372	0.4339780853
373	0.4338252284
374	0.4337201652
375	0.4335740532
376	0.4332383392
377	0.4331014549
378	0.4330167919
379	0.4327709961
380	0.4325521385
381	0.4324353648
382	0.432293515
383	0.4320911679
384	0.4320278982
385	0.4318421858
386	0.4317194121
387	0.431566969
388	0.4313581667
389	0.4311467989
390	0.4309745763
391	0.4308659958
392	0.4306919938
393	0.4304041976
394	0.4302965688
395	0.4301795054
396	0.4300118346
397	0.4297817217
398	0.4294559802
399	0.4292698954
400	0.4290417274
401	0.4288445528
402	0.4287289791
403	0.4285882879
404	0.4283208504
405	0.4282351116
406	0.4281343518
407	0.4280114953
408	0.4278590109
409	0.4276809951
410	0.4275140691
411	0.4272697216
412	0.4271438857
413	0.4269501457
414	0.4268136752
415	0.4266109557
416	0.4264651334
417	0.426330194
418	0.4262144962
419	0.4260700808
420	0.4258846994
421	0.425731346
422	0.4256249586
423	0.4254766949
424	0.4252486096
425	0.4250283865
426	0.4249487305
427	0.4247199417
428	0.4246185613
429	0.4244222557
430	0.424201205
431	0.4240601827
432	0.4238864291
433	0.4237584829
434	0.4236230055
435	0.4235328804
436	0.4234424656
437	0.4232080078
438	0.4229435083
439	0.4228196173
440	0.4226404015
441	0.4224614341
442	0.4222259004
443	0.422044326
444	0.4218783518
445	0.4217698126
446	0.4216597011
447	0.4214612437
448	0.4213188973
449	0.4211991856
450	0.4210021352
451	0.4208399265
452	0.4207648222
453	0.4204802536
454	0.4203862801
455	0.4201058494
456	0.4200214347
457	0.4199217922
458	0.419701445
459	0.4195597607
460	0.4193653585
461	0.419268985
462	0.4191674391
463	0.4190079615
464	0.4187872418
465	0.4186618611
466	0.4185260527
467	0.4184578588
468	0.4183640923
469	0.4182116906
470	0.4179469429
471	0.4178363761
472	0.4177320991
473	0.4175950907
474	0.4173460259
475	0.4171879966
476	0.4170415949
477	0.4168558825
478	0.4166500596
479	0.4164985269
480	0.4163131869
481	0.4160086732
482	0.415850437
483	0.4156954284
484	0.4154997434
485	0.4153063758
486	0.4151498775
487	0.4149905654
488	0.4148591019
489	0.4147337626
490	0.4146319684
491	0.4144019796
492	0.4141748461
493	0.4139600437
494	0.4138525804
495	0.4137612553
496	0.4136278883
497	0.413444369
498	0.4133521335
499	0.4132858845
